highway,bicycle,width,shoulder,geometry,speed_lim,nlanes,pave_ref,nacc,PCI
primary,,,,"LINESTRING (-118.3132944 33.9454608, -118.3134062 33.9454608)",35,7,61024.0,1,86.31
primary,,,,"LINESTRING (-118.3122958 33.9454608, -118.3129367 33.9454608)",35,6,12660.0,0,30.04
primary,,,,"LINESTRING (-118.3120004 33.9454618, -118.3122958 33.9454608)",35,7,12660.0,0,30.04
primary,,,,"LINESTRING (-118.309047 33.9382175, -118.3090448 33.9376812)",35,5,62475.0,0,28.4
service,,,,"LINESTRING (-118.3095982 33.9386711, -118.3101809 33.93868)",30,2,59096.0,0,88.87
service,,,,"LINESTRING (-118.3101809 33.93868, -118.3112327 33.9386845)",30,2,62105.0,0,76.95
service,,,,"LINESTRING (-118.3112327 33.9386845, -118.3117698 33.9386867)",30,2,62105.0,0,76.95
service,,,,"LINESTRING (-118.3117698 33.9386867, -118.3123141 33.9386889)",30,2,53504.0,0,72.58
service,,,,"LINESTRING (-118.3123141 33.9386889, -118.3134086 33.9386889)",30,2,2064.0,0,88.87
residential,,,,"LINESTRING (-118.3101712 33.9454645, -118.3101784 33.9432303)",25,2,69971.0,0,65.75
residential,,,,"LINESTRING (-118.3101784 33.9432303, -118.3101678 33.9418642)",25,2,8329.0,0,79.62
residential,,,,"LINESTRING (-118.3101678 33.9418642, -118.310198 33.940033)",25,2,69266.0,0,48.98
residential,,,,"LINESTRING (-118.310198 33.940033, -118.3101809 33.93868)",25,2,42613.0,0,74.8
residential,,,,"LINESTRING (-118.3101809 33.93868, -118.3101817 33.9382224)",25,2,59096.0,0,88.87
residential,,,,"LINESTRING (-118.3101817 33.9382224, -118.3101926 33.937485)",25,2,68368.0,0,50.03
tertiary,,,,"LINESTRING (-118.3095445 33.9382217, -118.309047 33.9382175)",30,3,62475.0,1,28.4
primary,,,,"LINESTRING (-118.3090384 33.938689, -118.309047 33.9382175)",35,5,62475.0,0,28.4
tertiary,,,,"LINESTRING (-118.309047 33.9382175, -118.3085297 33.9382139)",30,3,18135.0,0,87.1
residential,,,,"LINESTRING (-118.3112333 33.9454645, -118.3112067 33.9432031)",25,2,8328.0,0,74.64
residential,,,,"LINESTRING (-118.3112067 33.9432031, -118.3112156 33.9418395)",25,2,8329.0,0,79.62
residential,,,,"LINESTRING (-118.3112156 33.9418395, -118.3112467 33.9400352)",25,2,34353.0,0,91.1
residential,,,,"LINESTRING (-118.3112467 33.9400352, -118.3112327 33.9386845)",25,2,19566.0,0,74.8
residential,,,,"LINESTRING (-118.3112327 33.9386845, -118.3112494 33.9382232)",25,2,62105.0,0,76.95
residential,,,,"LINESTRING (-118.3112494 33.9382232, -118.3112655 33.9378366)",25,2,19981.0,0,42.76
service,,,,"LINESTRING (-118.3096133 33.9454624, -118.3096082 33.9432298)",30,2,23064.0,0,71.32
service,,,,"LINESTRING (-118.3096082 33.9432298, -118.3096053 33.9418649)",30,2,62340.0,0,79.62
service,,,,"LINESTRING (-118.3096053 33.9418649, -118.3096012 33.9400263)",30,2,45206.0,0,67.8
service,,,,"LINESTRING (-118.3096012 33.9400263, -118.3095982 33.9386711)",30,2,19980.0,0,74.8
service,,,,"LINESTRING (-118.3095982 33.9386711, -118.3095972 33.9382222)",30,2,62475.0,0,28.4
primary,,,,"LINESTRING (-118.309012 33.9414368, -118.3090014 33.9409109)",35,4,10193.0,0,87.1
primary,,,,"LINESTRING (-118.3090014 33.9409109, -118.3090132 33.9400057)",35,4,12659.0,0,87.1
primary,,,,"LINESTRING (-118.3090132 33.9400057, -118.3090307 33.9391094)",35,4,12659.0,0,87.1
primary,,,,"LINESTRING (-118.3090307 33.9391094, -118.3090384 33.938689)",35,4,18135.0,0,87.1
primary,,,,"LINESTRING (-118.3090206 33.9418656, -118.309012 33.9414368)",35,5,10193.0,0,87.1
residential,,,,"LINESTRING (-118.3046701 33.9409316, -118.3090014 33.9409109)",25,2,1871.0,0,87.1
tertiary,,,,"LINESTRING (-118.3046658 33.9418695, -118.3053244 33.9418702)",30,3,53590.0,0,50.05
tertiary,,,,"LINESTRING (-118.3053244 33.9418702, -118.305464 33.94187)",30,3,53590.0,0,50.05
tertiary,,,,"LINESTRING (-118.305464 33.94187, -118.3057403 33.9418696)",30,3,53591.0,0,94.85
tertiary,,,,"LINESTRING (-118.3057403 33.9418696, -118.3068105 33.9418683)",30,3,39992.0,0,94.87
tertiary,,,,"LINESTRING (-118.3068105 33.9418683, -118.3078619 33.941867)",30,3,56347.0,1,84.66
tertiary,,,,"LINESTRING (-118.3078619 33.941867, -118.3084332 33.9418663)",30,3,56347.0,1,84.66
tertiary,,,,"LINESTRING (-118.3084332 33.9418663, -118.3090206 33.9418656)",30,3,8301.0,0,79.28
residential,,,,"LINESTRING (-118.3046472 33.9391037, -118.3090307 33.9391094)",25,2,18135.0,0,87.1
residential,,,,"LINESTRING (-118.3046472 33.9399938, -118.3090132 33.9400057)",25,2,12659.0,0,87.1
residential,,,,"LINESTRING (-118.3090132 33.9400057, -118.3096012 33.9400263)",25,2,12659.0,0,87.1
residential,,,,"LINESTRING (-118.3096012 33.9400263, -118.310198 33.940033)",25,2,14215.0,0,88.87
residential,,,,"LINESTRING (-118.310198 33.940033, -118.3112467 33.9400352)",25,2,34353.0,0,91.1
residential,,,,"LINESTRING (-118.3112467 33.9400352, -118.3117698 33.9400352)",25,2,19566.0,0,74.8
